"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000026393",371.517939263748,2.17673581446791,0.231607698467504,7.5309696338971e-22,6.2642605414756e-18
"ENSMUSG00000049421",190.647695573749,2.45261793811605,0.396161572082226,3.66337500587343e-11,1.52359766494276e-07
"ENSMUSG00000028414",114.697547320212,-1.13608055221146,0.343795837460001,1.8475947127248e-09,5.12276427348162e-06
"ENSMUSG00000102049",109.296556719665,-6.19557073518384,1.16766939528294,4.88243541199098e-09,1.01530244392353e-05
"ENSMUSG00000003346",367.701312623547,-0.684304268972477,0.234585435440249,2.23055376687373e-08,3.71074924657113e-05
"ENSMUSG00000064368",1121.20796032563,-1.10699682666192,0.465164296064862,9.40359918801174e-08,0.000130365230076469
"ENSMUSG00000023991",269.349818723365,0.612605738034063,0.205456630766745,1.21316451754579e-07,0.000144158606527798
"ENSMUSG00000001666",2601.46114863165,-0.503770439734771,0.122353652746647,2.80148149783237e-07,0.00029128403873712
"ENSMUSG00000016319",4131.32509005659,-0.50595613653867,0.126878199810205,3.94668446250704e-07,0.000364761348434817
"ENSMUSG00000032314",3770.22018850973,-0.431277046647921,0.100542744288899,7.33765308477874e-07,0.000610345983591896
"ENSMUSG00000040712",512.409946688626,0.515052278902257,0.153632887313015,1.35776480570811e-06,0.00095695140665671
"ENSMUSG00000004263",354.652908835949,0.494395082612971,0.134947927895112,1.38055023802363e-06,0.00095695140665671
"ENSMUSG00000020679",193.789233375534,0.52850029508627,0.189266367180669,2.27380287362622e-06,0.00135096373591592
"ENSMUSG00000028998",264.541959543699,-0.542081866444598,0.208356509099251,2.1206118387866e-06,0.00135096373591592
"ENSMUSG00000023861",327.234097642771,-0.773686342855999,0.489593372953598,2.74456119550325e-06,0.00152195066827974
"ENSMUSG00000003420",2193.53299865283,-0.386538189366763,0.0946525570526927,3.4154674254678e-06,0.00177561612781507
"ENSMUSG00000026914",578.34848178326,-0.436907837460596,0.117307608314078,5.25296797607888e-06,0.00257024633088377
"ENSMUSG00000028565",666.338840964046,0.543979714016017,0.2693399110301,5.86113339218252e-06,0.0027084948642319
"ENSMUSG00000039438",4182.45923460996,-0.389217289532064,0.0995094954819976,6.43205882544289e-06,0.00281588764789652
"ENSMUSG00000030199",246.103999245128,0.473413400834283,0.151381838958312,7.99829953278676e-06,0.00327359943405925
"ENSMUSG00000022983",340.705833127829,0.473961751204684,0.154747253523907,8.65823365584316e-06,0.00327359943405925
"ENSMUSG00000054422",56390.454155663,-0.496611239107524,0.19810829258467,8.50121300511696e-06,0.00327359943405925
"ENSMUSG00000036138",3494.96234530794,-0.44329508438006,0.13236829379639,1.28437987851257e-05,0.00381552565338126
"ENSMUSG00000027801",857.827420016866,-0.465313997820511,0.150325810921166,1.0879539825171e-05,0.00381552565338126
"ENSMUSG00000024298",168.197270565577,-2.02714989203945,1.88408131413414,1.14170141229482e-05,0.00381552565338126
"ENSMUSG00000062785",134.38988305822,0.490393696034511,0.208446739975355,1.19629498791412e-05,0.00381552565338126
"ENSMUSG00000038650",981.253930044518,-0.416852887343186,0.115823939640531,1.18238631972163e-05,0.00381552565338126
"ENSMUSG00000052305",307.801256958154,-0.639237999403333,0.476640863711324,1.2459137773758e-05,0.00381552565338126
"ENSMUSG00000000399",1412.10007483695,-0.419976134215575,0.118840296863305,1.35529349644116e-05,0.00388735562186122
"ENSMUSG00000024002",695.191008794716,0.441989899841291,0.137335391471785,1.76917282706569e-05,0.00474709018565563
"ENSMUSG00000070493",3198.07062993729,-0.474496314640171,0.19841602785009,1.75861112638217e-05,0.00474709018565563
"ENSMUSG00000019791",120.409864802468,-0.501716435446425,0.286918223109156,1.9949473031864e-05,0.00518561614622015
"ENSMUSG00000020884",4690.21465708249,-0.379778689795078,0.104865374920011,2.12669134566521e-05,0.00527567446917687
"ENSMUSG00000028211",960.397852602466,-0.54181199593093,0.382182968440411,2.15644303861522e-05,0.00527567446917687
"ENSMUSG00000018846",795.667308979502,-0.452156744168698,0.164749506469588,2.52443803959888e-05,0.00583285433705097
"ENSMUSG00000028618",1374.33458101819,-0.446953497294897,0.153233164568754,2.47954534874799e-05,0.00583285433705097
"ENSMUSG00000035992",441.127785577965,-0.48626715919866,0.279469477881698,2.64370588385139e-05,0.00594333663293942
"ENSMUSG00000052488",474.651922267091,0.440715331125655,0.147747143073593,2.75534783527358e-05,0.00599305199467052
"ENSMUSG00000024985",127.417198849832,0.454859994058013,0.18165924818632,2.80991858369981e-05,0.00599305199467052
"ENSMUSG00000026032",599.580596978496,-0.409836895435601,0.125205246977639,3.49107439613687e-05,0.00625847953127015
"ENSMUSG00000026701",3868.29760270297,-0.407974395841008,0.123713202756397,3.41220129561728e-05,0.00625847953127015
"ENSMUSG00000036880",10231.3930450837,-0.353719927533313,0.0984693272677421,3.495165229149e-05,0.00625847953127015
"ENSMUSG00000038286",1800.90704256064,-0.447077735183102,0.167703020409025,3.16299986769005e-05,0.00625847953127015
"ENSMUSG00000005161",919.722501052621,-0.406415473102261,0.123269206366596,3.53628922781555e-05,0.00625847953127015
"ENSMUSG00000090231",9760.29824783476,0.438941165408009,0.150189877183302,3.15667383077276e-05,0.00625847953127015
"ENSMUSG00000059775",682.805318684992,0.458140614494602,0.225390124800999,3.53584186546147e-05,0.00625847953127015
"ENSMUSG00000033488",266.193146921544,-0.439741654585474,0.155359834661872,3.43026709798104e-05,0.00625847953127015
"ENSMUSG00000050552",434.90772167756,-0.440692009835387,0.179492264270239,4.4040685405104e-05,0.00763188377499281
"ENSMUSG00000034108",1711.52293011071,-0.390313148377519,0.117573265977418,4.60521126702032e-05,0.00766387132875726
"ENSMUSG00000040883",2111.84391406842,-0.438507615365967,0.17582406085787,4.60679930798104e-05,0.00766387132875726
"ENSMUSG00000070643",121.951109191325,0.426625369105978,0.170092767961724,6.58195540245193e-05,0.01073504020345
"ENSMUSG00000014313",1435.22393246301,-0.418307439592749,0.150338992282884,6.9928618014641e-05,0.0110325631813245
"ENSMUSG00000040146",398.025447985062,0.407854714763875,0.136840427836648,7.02964472962488e-05,0.0110325631813245
"ENSMUSG00000032330",848.86008196255,-0.421606383831117,0.167812281532959,7.67933881191279e-05,0.0116100373705016
"ENSMUSG00000021361",884.779433488717,-0.410605257945222,0.143193541837185,7.86625922275869e-05,0.0116100373705016
"ENSMUSG00000051355",196.900041027725,-0.419600068560885,0.160792276326802,7.77320346052879e-05,0.0116100373705016
"ENSMUSG00000037710",1321.49342790184,-0.417665948845361,0.156789439407218,7.95590442556615e-05,0.0116100373705016
"ENSMUSG00000019838",1552.70199585938,0.384114789359274,0.12246643258037,8.57584674399856e-05,0.0120930566910553
"ENSMUSG00000105204",117.537396930078,-0.513908910637173,0.562855699216814,8.5776670446293e-05,0.0120930566910553
"ENSMUSG00000027425",190.514893514339,0.404360773252487,0.145338361853494,0.000105550741961625,0.0146328511939466
"ENSMUSG00000066319",725.351906501389,0.389281091261369,0.130819342459167,0.000111963566717995,0.0150211765800046
"ENSMUSG00000035413",151.312041243432,-0.411482013937843,0.191772020557924,0.000111798928020829,0.0150211765800046
"ENSMUSG00000002910",158.170763962518,-0.41186904832618,0.233867583139878,0.000114006961611456,0.0150525382013347
"ENSMUSG00000018387",569.309692514165,0.404982670298251,0.152300691756035,0.000118136201296005,0.0153540144121901
"ENSMUSG00000061887",370.225873160577,0.405939695182615,0.157626451591223,0.000121803964257874,0.015587159610723
"ENSMUSG00000049504",190.88628355573,0.397765864860184,0.142383130373784,0.000125066993777116,0.0157622311248189
"ENSMUSG00000061589",410.507705878908,0.392644191006496,0.139111543784431,0.000137323962161262,0.0166767523244803
"ENSMUSG00000036568",265.444133802602,0.381501264422812,0.129198382849863,0.000140274632642648,0.0166767523244803
"ENSMUSG00000025409",427.182530837277,0.403494436845944,0.188462668218861,0.000140342950554655,0.0166767523244803
"ENSMUSG00000061731",492.315677091006,0.397799692784562,0.145903284927587,0.000136422310314451,0.0166767523244803
"ENSMUSG00000045294",2493.06530389894,-0.401044692072447,0.182383215473984,0.000151642260854551,0.0177656383913825
"ENSMUSG00000090942",184.271833983854,-0.527788115232178,0.999248491105728,0.000157566715635866,0.0182033325091546
"ENSMUSG00000026295",1045.28614168759,-0.398630035269817,0.172843806968029,0.000164494824418398,0.018530349715699
"ENSMUSG00000020173",226.714368973355,0.395652636105634,0.261179081622,0.000164852834691239,0.018530349715699
"ENSMUSG00000024393",1637.99912483988,0.372516568721973,0.126430791509021,0.000172784312572957,0.0191629321597581
"ENSMUSG00000024294",534.00139158054,-0.390027303820704,0.150492467982663,0.000196235819501823,0.0214774940344232
"ENSMUSG00000020935",294.314890545667,0.390133677601266,0.151774822114153,0.000198905194426769,0.0214869273667774
"ENSMUSG00000038369",466.884235096022,0.390336329824594,0.179321198186003,0.000209032382515269,0.0222914276636155
"ENSMUSG00000025348",143.782827286574,0.390217736821226,0.160267697469026,0.000212327584660496,0.0223562132810886
"ENSMUSG00000096210",1558.0667180862,0.38784167117637,0.152575829556318,0.000217560684899587,0.0226208722124346
"ENSMUSG00000074115",3687.2469864453,0.441731809989415,1.10634865922868,0.000232107497374736,0.0238354341131241
