"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000026393",371.517939263748,2.46293923316991,0.23502059688834,2.01875320361906e-28,2.27937424220628e-24
"ENSMUSG00000001666",2601.46114863165,-0.992797890167147,0.147553583968375,1.78691309302975e-15,1.00880178666994e-11
"ENSMUSG00000036138",3494.96234530794,-1.01362698392713,0.171466822290344,2.51783421679518e-13,6.14908080215786e-10
"ENSMUSG00000032314",3770.22018850973,-0.737593246331356,0.108724005303126,2.72300097518283e-13,6.14908080215786e-10
"ENSMUSG00000050732",960.961771227992,-0.97568186626734,0.161629852044463,2.53543134911999e-13,6.14908080215786e-10
"ENSMUSG00000028998",264.541959543699,-1.31125185754793,0.248014585856282,2.59174700681714e-12,4.87723590899538e-09
"ENSMUSG00000032035",140.358368069245,2.26322264183904,0.397320876729258,1.63187538151597e-11,2.63221499038525e-08
"ENSMUSG00000016319",4131.32509005659,-0.836334508659529,0.144536573613562,2.50562707694829e-11,3.1434483695359e-08
"ENSMUSG00000039438",4182.45923460996,-0.666741088901863,0.106923402455878,2.29610872976643e-11,3.1434483695359e-08
"ENSMUSG00000020357",377.774398069596,1.25961815548489,0.260565118077831,2.86199898468986e-11,3.23148305361332e-08
"ENSMUSG00000003346",367.701312623547,-1.03356556019157,0.207498222369428,4.34093145292387e-11,4.45576882136031e-08
"ENSMUSG00000038244",353.287106062744,1.08999237930407,0.229473119395861,7.97498854890642e-11,7.50379964214187e-08
"ENSMUSG00000102049",109.296556719665,-7.26841905156485,1.18162734993727,1.39168587967118e-10,1.12239466195481e-07
"ENSMUSG00000020884",4690.21465708249,-0.675540283611634,0.113895891512249,1.34539134656264e-10,1.12239466195481e-07
"ENSMUSG00000090841",1290.25298095988,-0.764072826169761,0.138671537728082,4.41605783779005e-10,3.3241139364325e-07
"ENSMUSG00000032330",848.86008196255,-1.10182444800168,0.25481590821509,7.05787480515737e-10,4.88924786717895e-07
"ENSMUSG00000000399",1412.10007483695,-0.73390331294899,0.133388198609611,7.36136867788878e-10,4.88924786717895e-07
"ENSMUSG00000034108",1711.52293011071,-0.717951450208297,0.131730554960268,1.22283342486107e-09,7.26684852637176e-07
"ENSMUSG00000028414",114.697547320212,-1.09939898182927,0.259913111164069,1.16607641847664e-09,7.26684852637176e-07
"ENSMUSG00000036880",10231.3930450837,-0.593304628052748,0.105364765360467,1.72927724547341e-09,9.76263468932012e-07
"ENSMUSG00000005510",896.796254783006,-0.693400799807305,0.137190186375663,1.32878393287983e-08,7.1444282791172e-06
"ENSMUSG00000038286",1800.90704256064,-0.926350796758223,0.224483763002053,1.60056192632828e-08,7.52997696257191e-06
"ENSMUSG00000018501",1095.35305949901,0.567190888253238,0.107656358014195,1.59879977279261e-08,7.52997696257191e-06
"ENSMUSG00000026914",578.34848178326,-0.661741275598603,0.129532668193543,1.48447542419947e-08,7.52997696257191e-06
"ENSMUSG00000040883",2111.84391406842,-0.965711089233733,0.245880347295564,2.09787545358824e-08,9.47484469858594e-06
"ENSMUSG00000054422",56390.454155663,-0.958179719555454,0.243688923680038,2.286522572355e-08,9.92966398633088e-06
"ENSMUSG00000063870",1520.85338508883,0.717346882166322,0.147384608243303,2.38308550356382e-08,9.96571052619966e-06
"ENSMUSG00000070493",3198.07062993729,-0.988820210613797,0.259793991487959,2.63736061314289e-08,1.02851859027553e-05
"ENSMUSG00000003420",2193.53299865283,-0.525074777472076,0.100287075346459,2.64166496483841e-08,1.02851859027553e-05
"ENSMUSG00000074336",4828.93135775703,-0.816180401621518,0.184040634429825,3.1175257792895e-08,1.17333278579859e-05
"ENSMUSG00000064368",1121.20796032563,-1.15205191961229,0.332022017006828,3.42131665702145e-08,1.24613181852998e-05
"ENSMUSG00000023991",269.349818723365,0.820923092245238,0.188176115260057,3.87511599080926e-08,1.36731045788211e-05
"ENSMUSG00000026295",1045.28614168759,-0.967893637815101,0.258964714197504,4.59647979031274e-08,1.57269252461882e-05
"ENSMUSG00000029918",236.486246518502,-0.695159267936006,0.145367535851472,4.85102562145218e-08,1.6109685379946e-05
"ENSMUSG00000032041",255.256127111962,1.17751804598227,0.354581422627924,6.11394247889819e-08,1.97235784369256e-05
"ENSMUSG00000026032",599.580596978496,-0.675397788534409,0.141267478146106,6.29751532845741e-08,1.97514571037813e-05
"ENSMUSG00000022521",327.355357489797,0.735193265365167,0.160634502823709,6.87743209177512e-08,2.09873204724954e-05
"ENSMUSG00000019791",120.409864802468,-1.14306831077706,0.345275758793034,7.16975584951149e-08,2.13036087623248e-05
"ENSMUSG00000052738",2648.79734432144,-0.640264613516749,0.132635241447105,7.60680366670255e-08,2.16028410688281e-05
"ENSMUSG00000039004",40.7642112407396,1.40450215588177,0.432685106228265,7.65311879154304e-08,2.16028410688281e-05
"ENSMUSG00000031563",183.478857675633,0.804314423233894,0.191154289326662,9.88179485227195e-08,2.72134989456104e-05
"ENSMUSG00000022235",1849.7395383305,-0.737177448307831,0.166050309977196,1.20612766239009e-07,3.24247319905869e-05
"ENSMUSG00000003053",16327.9878774014,1.3042812467789,0.419041829869335,1.24900793628324e-07,3.27966246711025e-05
"ENSMUSG00000014313",1435.22393246301,-0.781731152064069,0.185728059740056,1.4668965947282e-07,3.76425669342638e-05
"ENSMUSG00000039450",718.648998840498,-0.692529472499911,0.152901592622997,1.58571906960339e-07,3.97874533664263e-05
"ENSMUSG00000005161",919.722501052621,-0.641826396062681,0.137869313368433,1.68323421664807e-07,4.04370160429221e-05
"ENSMUSG00000015083",3144.76246268496,-0.952395801701727,0.274728675831337,1.67629503126782e-07,4.04370160429221e-05
"ENSMUSG00000021764",663.629324821523,-0.628919899312496,0.13453755031879,1.77124054398881e-07,4.16647437128702e-05
