"Gene"
"ENSMUSG00000030880"
"ENSMUSG00000020521"
"ENSMUSG00000028713"
"ENSMUSG00000021959"
"ENSMUSG00000078517"
"ENSMUSG00000036966"
"ENSMUSG00000020910"
"ENSMUSG00000029458"
"ENSMUSG00000032528"
"ENSMUSG00000037353"
"ENSMUSG00000058624"
"ENSMUSG00000060470"
"ENSMUSG00000027599"
"ENSMUSG00000051817"
"ENSMUSG00000022453"
"ENSMUSG00000020641"
"ENSMUSG00000039633"
"ENSMUSG00000031458"
"ENSMUSG00000025220"
"ENSMUSG00000059974"
"ENSMUSG00000028423"
"ENSMUSG00000056220"
"ENSMUSG00000025986"
"ENSMUSG00000016933"
"ENSMUSG00000066440"
"ENSMUSG00000079045"
"ENSMUSG00000039285"
"ENSMUSG00000043290"
"ENSMUSG00000020638"
"ENSMUSG00000006715"
"ENSMUSG00000071533"
"ENSMUSG00000026767"
"ENSMUSG00000038520"
