"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060485","mesenchyme development","34/1628","327/25615",0.103975535168196,1.63595413595414,3.01522945059086,0.00334570788500178,0.0251746928772606,0.0251746928772606,"Sema6a/Tgfbr2/Erbb4/Hes1/Nfatc1/Gata4/Kbtbd8/Timp3/Efnb1/Hpn/Sox9/Cyp26a1/Pdcd4/Pdcd6/Foxa2/Tgfb1/Bmp2/Hnrnpab/Nedd4/Dicer1/Adipor1/Ankrd11/Nolc1/Phactr4/Zfp36l1/Zfp703/Slc39a6/Tcf7l2/Lrg1/Tcof1/Loxl3/Tbx3/Fn1/Sema6b",34
"GO:0006475","internal protein amino acid acetylation","5/1628","17/25615",0.294117647058824,4.62765573059691,3.89785288627939,0.00334715743796873,0.0251746928772606,0.0251746928772606,"Bag6/Nat8f1/Nat8/Ep300/Kat7",5
"GO:0018393","internal peptidyl-lysine acetylation","5/1628","17/25615",0.294117647058824,4.62765573059691,3.89785288627939,0.00334715743796873,0.0251746928772606,0.0251746928772606,"Bag6/Nat8f1/Nat8/Ep300/Kat7",5
"GO:0042416","dopamine biosynthetic process","5/1628","17/25615",0.294117647058824,4.62765573059691,3.89785288627939,0.00334715743796873,0.0251746928772606,0.0251746928772606,"Vps35/Epas1/Gch1/Agtr1a/Park7",5
"GO:0044743","protein transmembrane import into intracellular organelle","5/1628","17/25615",0.294117647058824,4.62765573059691,3.89785288627939,0.00334715743796873,0.0251746928772606,0.0251746928772606,"Pex6/Pex16/Pex2/Hspa8/Pex7",5
"GO:0044819","mitotic G1/S transition checkpoint signaling","5/1628","17/25615",0.294117647058824,4.62765573059691,3.89785288627939,0.00334715743796873,0.0251746928772606,0.0251746928772606,"Sde2/Rps27l/Triap1/Wac/Gigyf2",5
"GO:0046322","negative regulation of fatty acid oxidation","5/1628","17/25615",0.294117647058824,4.62765573059691,3.89785288627939,0.00334715743796873,0.0251746928772606,0.0251746928772606,"Sox9/Dgat2/Mfsd2a/Acadvl/Akt1",5
"GO:1903076","regulation of protein localization to plasma membrane","17/1628","129/25615",0.131782945736434,2.07347675370931,3.18430453411298,0.00335582112142355,0.0251746928772606,0.0251746928772606,"Lrp1/Commd1/Sptbn1/Mmp14/Ppp1r9b/Csrp3/Numb/Tgfb1/Ppfia1/Lypla1/Cib1/Atp2b4/Vamp8/Zdhhc5/Akt1/Tmem59/Cdk5",17
"GO:0008154","actin polymerization or depolymerization","23/1628","196/25615",0.11734693877551,1.84634019455448,3.09864417067023,0.00335947094830301,0.0251746928772606,0.0251746928772606,"Add3/Arpc5l/Vasp/Sptbn1/Ppp1r9b/Map3k1/Tpm1/Mical3/Mkks/Arpc3/Arpc5/Icam1/Rictor/Twf1/Abl1/Fer/Pecam1/Mical2/Ttc17/Ssh2/Cobl/Diaph1/Mrtfa",23
"GO:0006778","porphyrin-containing compound metabolic process","9/1628","49/25615",0.183673469387755,2.88992378278093,3.44975992856387,0.00337021106389229,0.0251746928772606,0.0251746928772606,"Bdh2/Hmox1/Blvrb/Urod/Hebp1/Tmem14c/Alad/Cpox/Cyp1a2",9
