"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","ENSEMBL","SYMBOL","Regulation"
"ENSMUSG00000026393",371.517939263748,2.46293923316991,0.23502059688834,2.01875320361906e-28,2.27937424220628e-24,"ENSMUSG00000026393","Nek7","Upregulated"
"ENSMUSG00000001666",2601.46114863165,-0.992797890167147,0.147553583968375,1.78691309302975e-15,1.00880178666994e-11,"ENSMUSG00000001666","Ddt","Not Significant"
"ENSMUSG00000036138",3494.96234530794,-1.01362698392713,0.171466822290344,2.51783421679518e-13,6.14908080215786e-10,"ENSMUSG00000036138","Acaa1a","Downregulated"
"ENSMUSG00000032314",3770.22018850973,-0.737593246331356,0.108724005303126,2.72300097518283e-13,6.14908080215786e-10,"ENSMUSG00000032314","Etfa","Not Significant"
"ENSMUSG00000050732",960.961771227992,-0.97568186626734,0.161629852044463,2.53543134911999e-13,6.14908080215786e-10,"ENSMUSG00000050732","Vamp8","Not Significant"
"ENSMUSG00000028998",264.541959543699,-1.31125185754793,0.248014585856282,2.59174700681714e-12,4.87723590899538e-09,"ENSMUSG00000028998","Tomm7","Downregulated"
"ENSMUSG00000032035",140.358368069245,2.26322264183904,0.397320876729258,1.63187538151597e-11,2.63221499038525e-08,"ENSMUSG00000032035","Ets1","Upregulated"
"ENSMUSG00000016319",4131.32509005659,-0.836334508659529,0.144536573613562,2.50562707694829e-11,3.1434483695359e-08,"ENSMUSG00000016319","Slc25a5","Not Significant"
"ENSMUSG00000039438",4182.45923460996,-0.666741088901863,0.106923402455878,2.29610872976643e-11,3.1434483695359e-08,"ENSMUSG00000039438","Ttc36","Not Significant"
"ENSMUSG00000020357",377.774398069596,1.25961815548489,0.260565118077831,2.86199898468986e-11,3.23148305361332e-08,"ENSMUSG00000020357","Flt4","Upregulated"
"ENSMUSG00000003346",367.701312623547,-1.03356556019157,0.207498222369428,4.34093145292387e-11,4.45576882136031e-08,"ENSMUSG00000003346","Abhd17a","Downregulated"
"ENSMUSG00000038244",353.287106062744,1.08999237930407,0.229473119395861,7.97498854890642e-11,7.50379964214187e-08,"ENSMUSG00000038244","Mical2","Upregulated"
"ENSMUSG00000102049",109.296556719665,-7.26841905156485,1.18162734993727,1.39168587967118e-10,1.12239466195481e-07,"ENSMUSG00000102049",NA,"Downregulated"
"ENSMUSG00000020884",4690.21465708249,-0.675540283611634,0.113895891512249,1.34539134656264e-10,1.12239466195481e-07,"ENSMUSG00000020884","Asgr1","Not Significant"
"ENSMUSG00000090841",1290.25298095988,-0.764072826169761,0.138671537728082,4.41605783779005e-10,3.3241139364325e-07,"ENSMUSG00000090841","Myl6","Not Significant"
"ENSMUSG00000032330",848.86008196255,-1.10182444800168,0.25481590821509,7.05787480515737e-10,4.88924786717895e-07,"ENSMUSG00000032330","Cox7a2","Downregulated"
"ENSMUSG00000000399",1412.10007483695,-0.73390331294899,0.133388198609611,7.36136867788878e-10,4.88924786717895e-07,"ENSMUSG00000000399","Ndufa9","Not Significant"
"ENSMUSG00000034108",1711.52293011071,-0.717951450208297,0.131730554960268,1.22283342486107e-09,7.26684852637176e-07,"ENSMUSG00000034108","Ccs","Not Significant"
"ENSMUSG00000028414",114.697547320212,-1.09939898182927,0.259913111164069,1.16607641847664e-09,7.26684852637176e-07,"ENSMUSG00000028414","Fktn","Downregulated"
"ENSMUSG00000036880",10231.3930450837,-0.593304628052748,0.105364765360467,1.72927724547341e-09,9.76263468932012e-07,"ENSMUSG00000036880","Acaa2","Not Significant"
"ENSMUSG00000005510",896.796254783006,-0.693400799807305,0.137190186375663,1.32878393287983e-08,7.1444282791172e-06,"ENSMUSG00000005510","Ndufs3","Not Significant"
"ENSMUSG00000038286",1800.90704256064,-0.926350796758223,0.224483763002053,1.60056192632828e-08,7.52997696257191e-06,"ENSMUSG00000038286","Bphl","Not Significant"
"ENSMUSG00000018501",1095.35305949901,0.567190888253238,0.107656358014195,1.59879977279261e-08,7.52997696257191e-06,"ENSMUSG00000018501","Ncor1","Not Significant"
"ENSMUSG00000026914",578.34848178326,-0.661741275598603,0.129532668193543,1.48447542419947e-08,7.52997696257191e-06,"ENSMUSG00000026914","Psmd14","Not Significant"
"ENSMUSG00000040883",2111.84391406842,-0.965711089233733,0.245880347295564,2.09787545358824e-08,9.47484469858594e-06,"ENSMUSG00000040883","Tmem205","Not Significant"
"ENSMUSG00000054422",56390.454155663,-0.958179719555454,0.243688923680038,2.286522572355e-08,9.92966398633088e-06,"ENSMUSG00000054422","Fabp1","Not Significant"
"ENSMUSG00000063870",1520.85338508883,0.717346882166322,0.147384608243303,2.38308550356382e-08,9.96571052619966e-06,"ENSMUSG00000063870","Chd4","Not Significant"
"ENSMUSG00000070493",3198.07062993729,-0.988820210613797,0.259793991487959,2.63736061314289e-08,1.02851859027553e-05,"ENSMUSG00000070493","Chchd2","Not Significant"
"ENSMUSG00000003420",2193.53299865283,-0.525074777472076,0.100287075346459,2.64166496483841e-08,1.02851859027553e-05,"ENSMUSG00000003420","Fcgrt","Not Significant"
"ENSMUSG00000074336",4828.93135775703,-0.816180401621518,0.184040634429825,3.1175257792895e-08,1.17333278579859e-05,"ENSMUSG00000074336","Apoc4","Not Significant"
