"Module","Correlation"
"ME1",-0.906767199957119
"ME79",-0.788496944647031
"ME21",-0.746905570175988
"ME2",0.727225867835449
"ME13",-0.714842680822415
"ME3",0.701826532034888
"ME37",0.680214074831619
"ME69",0.666061914813413
"ME26",0.657670431849611
"ME60",0.648555187080544
"ME34",-0.637720943482693
"ME44",-0.614679095340383
"ME43",0.595108505878791
"ME51",0.587512089890223
"ME42",0.576669733148293
"ME66",0.57605675398427
"ME28",-0.567237408273404
"ME61",-0.566141452320813
"ME86",-0.553471247261436
"ME12",0.541846397743999
"ME11",0.540424167218157
"ME83",0.52716265406043
"ME87",0.524505583515035
"ME5",-0.503849452284284
"ME52",-0.49819669733872
"ME77",0.48855103237744
"ME4",-0.457076895312602
"ME17",-0.45311025897902
"ME50",-0.439559096776703
"ME72",-0.418584100882059
"ME46",0.409860365583961
"ME23",0.369882656094667
"ME71",0.363587507967885
"ME91",-0.357948580134602
"ME25",-0.355300866184008
"ME24",0.337383875219989
"ME33",0.335156210999702
"ME9",-0.332667182104178
"ME22",0.325132035154336
"ME76",-0.323229316815885
"ME84",0.321743800632169
"ME6",0.317428747821937
"ME31",0.314438013380025
"ME75",0.307492548586642
"ME55",0.30271786177803
"ME80",-0.283335034019406
"ME16",-0.277473723237944
"ME45",0.263209208532856
"ME40",-0.262012538889845
"ME19",0.261872052535339
"ME20",-0.258473973419124
"ME53",0.255628285451449
"ME8",-0.251225727403883
"ME89",0.249945424955562
"ME88",-0.243017687417482
"ME90",0.242805826130548
"ME14",0.238189368806756
"ME74",-0.232225200869432
"ME30",0.221816392118408
"ME78",0.218595072056627
"ME48",0.216103316540761
"ME32",-0.196899302695413
"ME35",-0.194888450058295
"ME7",-0.18719706101745
"ME67",0.182008667939952
"ME36",-0.180352348349015
"ME39",0.172507345619157
"ME58",-0.167569933309876
"ME64",-0.161074352263754
"ME29",-0.160434376636679
"ME18",-0.157154492739092
"ME41",-0.155303141368538
"ME47",0.134601943542881
"ME81",0.131796975800748
"ME82",-0.131190076730642
"ME49",-0.128589296900824
"ME70",0.12492632166874
"ME63",-0.111569565134962
"ME68",-0.109346144805337
"ME85",0.108043136057196
"ME27",0.107374893293517
"ME73",-0.102600171855869
"ME62",0.101003230693266
"ME59",0.0714761901354637
"ME10",0.0507843919313064
"ME57",0.0466377021910496
"ME38",0.0452903303052723
"ME15",-0.0417804945668136
"ME56",0.0332211829947217
"ME65",0.0103890718844195
"ME54",-0.00800677252805898
