"Gene"
"ENSMUSG00000028184"
"ENSMUSG00000006958"
"ENSMUSG00000026754"
"ENSMUSG00000032582"
"ENSMUSG00000067629"
"ENSMUSG00000022836"
"ENSMUSG00000062822"
"ENSMUSG00000087644"
"ENSMUSG00000020923"
"ENSMUSG00000028807"
"ENSMUSG00000003038"
"ENSMUSG00000037007"
"ENSMUSG00000033781"
"ENSMUSG00000001794"
"ENSMUSG00000038975"
"ENSMUSG00000053286"
"ENSMUSG00000032396"
"ENSMUSG00000032741"
"ENSMUSG00000043251"
"ENSMUSG00000041491"
"ENSMUSG00000046032"
"ENSMUSG00000037172"
"ENSMUSG00000037992"
"ENSMUSG00000033739"
"ENSMUSG00000025024"
"ENSMUSG00000074825"
"ENSMUSG00000039879"
"ENSMUSG00000067038"
"ENSMUSG00000090626"
"ENSMUSG00000063838"
"ENSMUSG00000021555"
"ENSMUSG00000026123"
"ENSMUSG00000019659"
"ENSMUSG00000032006"
"ENSMUSG00000087361"
"ENSMUSG00000052676"
"ENSMUSG00000031156"
"ENSMUSG00000042156"
"ENSMUSG00000018474"
"ENSMUSG00000021884"
"ENSMUSG00000097673"
"ENSMUSG00000039050"
"ENSMUSG00000049672"
"ENSMUSG00000046959"
"ENSMUSG00000029022"
"ENSMUSG00000024677"
"ENSMUSG00000020737"
"ENSMUSG00000041115"
"ENSMUSG00000092417"
"ENSMUSG00000085704"
"ENSMUSG00000006262"
"ENSMUSG00000022179"
"ENSMUSG00000031885"
"ENSMUSG00000031103"
"ENSMUSG00000074923"
"ENSMUSG00000080902"
"ENSMUSG00000060594"
"ENSMUSG00000031530"
"ENSMUSG00000062683"
"ENSMUSG00000005871"
"ENSMUSG00000061859"
"ENSMUSG00000106951"
"ENSMUSG00000028018"
"ENSMUSG00000036941"
"ENSMUSG00000036944"
"ENSMUSG00000040749"
"ENSMUSG00000040740"
"ENSMUSG00000025201"
"ENSMUSG00000003575"
"ENSMUSG00000020024"
"ENSMUSG00000034157"
"ENSMUSG00000046351"
"ENSMUSG00000078234"
"ENSMUSG00000025153"
"ENSMUSG00000097204"
"ENSMUSG00000066878"
"ENSMUSG00000042178"
"ENSMUSG00000067931"
"ENSMUSG00000026790"
"ENSMUSG00000019970"
"ENSMUSG00000068823"
"ENSMUSG00000020696"
"ENSMUSG00000000120"
"ENSMUSG00000063889"
"ENSMUSG00000069874"
"ENSMUSG00000031955"
"ENSMUSG00000032633"
"ENSMUSG00000038393"
"ENSMUSG00000020108"
"ENSMUSG00000051977"
"ENSMUSG00000000409"
"ENSMUSG00000046380"
"ENSMUSG00000032782"
"ENSMUSG00000078716"
"ENSMUSG00000051065"
"ENSMUSG00000036591"
"ENSMUSG00000045414"
"ENSMUSG00000025422"
"ENSMUSG00000045659"
"ENSMUSG00000107121"
"ENSMUSG00000051557"
"ENSMUSG00000020453"
"ENSMUSG00000062944"
"ENSMUSG00000027665"
"ENSMUSG00000022678"
"ENSMUSG00000044296"
"ENSMUSG00000041846"
"ENSMUSG00000044881"
"ENSMUSG00000031903"
"ENSMUSG00000028896"
"ENSMUSG00000042010"
"ENSMUSG00000050954"
"ENSMUSG00000072568"
"ENSMUSG00000025825"
"ENSMUSG00000079494"
"ENSMUSG00000021969"
"ENSMUSG00000039205"
"ENSMUSG00000051669"
"ENSMUSG00000014329"
"ENSMUSG00000032044"
"ENSMUSG00000053291"
"ENSMUSG00000014956"
"ENSMUSG00000002769"
"ENSMUSG00000032757"
"ENSMUSG00000026203"
"ENSMUSG00000026566"
"ENSMUSG00000063652"
"ENSMUSG00000066682"
"ENSMUSG00000043140"
"ENSMUSG00000015377"
"ENSMUSG00000019088"
"ENSMUSG00000027699"
"ENSMUSG00000042271"
"ENSMUSG00000003228"
"ENSMUSG00000042594"
"ENSMUSG00000050423"
"ENSMUSG00000055413"
"ENSMUSG00000047193"
"ENSMUSG00000058927"
"ENSMUSG00000033233"
"ENSMUSG00000042426"
"ENSMUSG00000082029"
"ENSMUSG00000038623"
"ENSMUSG00000029687"
"ENSMUSG00000034729"
"ENSMUSG00000064254"
"ENSMUSG00000026921"
"ENSMUSG00000028563"
"ENSMUSG00000029016"
"ENSMUSG00000078670"
"ENSMUSG00000004936"
"ENSMUSG00000066944"
"ENSMUSG00000003123"
"ENSMUSG00000052713"
"ENSMUSG00000049502"
"ENSMUSG00000083325"
"ENSMUSG00000049866"
"ENSMUSG00000032413"
"ENSMUSG00000027519"
"ENSMUSG00000020653"
"ENSMUSG00000020652"
"ENSMUSG00000027569"
"ENSMUSG00000056234"
"ENSMUSG00000020844"
"ENSMUSG00000031818"
"ENSMUSG00000042810"
"ENSMUSG00000024287"
"ENSMUSG00000031993"
"ENSMUSG00000058192"
"ENSMUSG00000036672"
"ENSMUSG00000036330"
"ENSMUSG00000035158"
"ENSMUSG00000011148"
