"pathway","NES","pval","padj","size"
"OXIDATIVE PHOSPHORYLATION",-2.74430885161014,7.38928771761741e-30,3.6946438588087e-28,181
"FATTY ACID METABOLISM",-2.33353248277625,7.30145004384889e-14,1.82536251096222e-12,139
"ADIPOGENESIS",-1.98242865409434,1.54210129405631e-08,2.57016882342718e-07,188
"REACTIVE OXYGEN SPECIES PATHWAY",-1.61867329315474,0.00451834135860347,0.0192633235653079,44
"TNFA SIGNALING VIA NFKB",1.50552896376168,0.00901123419006374,0.0281601068439492,129
"MTORC1 SIGNALING",-1.37831446338336,0.0100314350262659,0.0295042206654878,176
