"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000026393",371.517939263748,2.46293923316991,0.23502059688834,2.01875320361906e-28,2.27937424220628e-24
"ENSMUSG00000036138",3494.96234530794,-1.01362698392713,0.171466822290344,2.51783421679518e-13,6.14908080215786e-10
"ENSMUSG00000028998",264.541959543699,-1.31125185754793,0.248014585856282,2.59174700681714e-12,4.87723590899538e-09
"ENSMUSG00000032035",140.358368069245,2.26322264183904,0.397320876729258,1.63187538151597e-11,2.63221499038525e-08
"ENSMUSG00000020357",377.774398069596,1.25961815548489,0.260565118077831,2.86199898468986e-11,3.23148305361332e-08
"ENSMUSG00000003346",367.701312623547,-1.03356556019157,0.207498222369428,4.34093145292387e-11,4.45576882136031e-08
"ENSMUSG00000038244",353.287106062744,1.08999237930407,0.229473119395861,7.97498854890642e-11,7.50379964214187e-08
"ENSMUSG00000102049",109.296556719665,-7.26841905156485,1.18162734993727,1.39168587967118e-10,1.12239466195481e-07
"ENSMUSG00000032330",848.86008196255,-1.10182444800168,0.25481590821509,7.05787480515737e-10,4.88924786717895e-07
"ENSMUSG00000028414",114.697547320212,-1.09939898182927,0.259913111164069,1.16607641847664e-09,7.26684852637176e-07
"ENSMUSG00000064368",1121.20796032563,-1.15205191961229,0.332022017006828,3.42131665702145e-08,1.24613181852998e-05
"ENSMUSG00000032041",255.256127111962,1.17751804598227,0.354581422627924,6.11394247889819e-08,1.97235784369256e-05
"ENSMUSG00000019791",120.409864802468,-1.14306831077706,0.345275758793034,7.16975584951149e-08,2.13036087623248e-05
"ENSMUSG00000039004",40.7642112407396,1.40450215588177,0.432685106228265,7.65311879154304e-08,2.16028410688281e-05
"ENSMUSG00000003053",16327.9878774014,1.3042812467789,0.419041829869335,1.24900793628324e-07,3.27966246711025e-05
"ENSMUSG00000058070",33.3808881946284,1.2339886369461,0.458098525285603,6.82302582123825e-07,0.000116725431132729
"ENSMUSG00000078688",155.271630221623,-1.01591760007405,0.351735536079185,8.22925131419933e-07,0.000132737823698035
"ENSMUSG00000052837",469.347008861714,1.63073513943602,0.681088944239326,9.53421386992103e-07,0.000143534411740371
"ENSMUSG00000081957",90.6308788189471,1.03271343185021,0.369216422994321,1.02345205865095e-06,0.000144882627220073
"ENSMUSG00000074884",150.569968795603,-1.33794650871909,0.527936627064673,1.00822616264128e-06,0.000144882627220073
"ENSMUSG00000021514",43.9172539244628,-1.51011703154618,0.652920571576197,1.44664219141633e-06,0.000187747551531974
"ENSMUSG00000098387",42.6335065297938,1.17602993105621,0.503264894782231,2.71752288019599e-06,0.000300819125885225
"ENSMUSG00000023057",1828.3795717518,-1.09103879806932,0.467359243352908,3.72749120541409e-06,0.000376825967551452
"ENSMUSG00000035686",4319.89038742755,-1.06256988595147,0.478884113675511,6.06434308096592e-06,0.000522690822344933
"ENSMUSG00000081207",274.915720774542,-1.22625076369729,0.629073070749261,6.89735810573769e-06,0.000569803303914653
"ENSMUSG00000038473",43.3935299399128,1.28488296359517,0.76334138832783,8.85612990696265e-06,0.000688775632175034
"ENSMUSG00000028001",98935.9507961947,1.14179806555014,0.586116189917689,9.24879298307846e-06,0.000710395384843122
"ENSMUSG00000090942",184.271833983854,-1.27391042611213,1.21890929663158,1.03596174336991e-05,0.000774638678436399
"ENSMUSG00000055491",189.629206152159,1.00945031841241,0.478523379441218,1.08402574957587e-05,0.000794787970029947
"ENSMUSG00000006777",49.0702267469051,-1.21454829207909,0.873677522015256,1.34945364622338e-05,0.00093836730834808
"ENSMUSG00000047036",379.309723329798,-1.08838326689761,0.587259588771901,1.42128871808808e-05,0.000958713697901418
"ENSMUSG00000078870",27.7908494032527,-1.0124953389471,0.513892448717246,1.53345889210023e-05,0.0010066444389944
"ENSMUSG00000024298",168.197270565577,-1.07627347944702,1.15688194945962,1.86677037374206e-05,0.00116451404916694
