"","GSM7840464","GSM7840465","GSM7840466","GSM7840467","GSM7840468","GSM7840469","GSM7840470","GSM7840471","GSM7840472"
"ENSMUSG00000028180",8.70985982143845,8.71152962756014,8.90022572909322,8.65425558356567,8.92687902778694,8.72947533042071,7.78232700036443,8.05448868290581,8.82142813978062
"ENSMUSG00000028182",4.95669042637061,5.45750132743276,5.15966351700189,5.18119919927745,4.89919814650172,5.15241599975575,5.0796146826599,5.37230143870265,4.99155491269077
"ENSMUSG00000028185",8.72967016005233,8.9647450608694,8.20547141335368,8.3685822592522,8.40433822114023,8.36406028298674,8.4788306774688,8.36250315072782,8.86635917693958
"ENSMUSG00000028184",8.75244295532537,9.09966306446054,9.18763523877169,8.81417775219182,9.18695985154709,8.96218684976898,9.45879806284649,9.52619563572922,9.40348461522514
"ENSMUSG00000028187",7.82370739416459,8.21804762776424,7.74632634244809,8.12527038333547,8.05859706519843,7.75352294587482,8.82785173696288,8.35875160571493,8.34693262354671
"ENSMUSG00000028186",14.9799889533289,15.070264340948,14.5812401621025,14.5872522826891,14.5274471896979,14.8226715977025,14.1811353661201,14.5669310111659,14.457485359149
"ENSMUSG00000028189",7.14239623464782,7.58687906064085,7.24667358649108,7.43830599458347,7.18967637038406,7.3756643106609,7.73519033006418,7.25491088340397,7.14030072469867
"ENSMUSG00000028188",5.00944913931555,4.93537882102211,5.33830027467089,4.80055255936298,5.40239330195015,5.62175123369156,4.64596652429761,4.83309905925913,4.74051160922638
"ENSMUSG00000020755",7.97550767724205,8.05683631318627,7.72508580388527,8.02293934372261,7.99192562240867,7.92297031459894,8.32318757981595,8.07293836873286,8.01721005992277
"ENSMUSG00000020752",7.75430808505853,7.93258333512379,7.96129083114179,8.03958960342595,7.60223890582942,8.03525098510009,7.93607297719203,8.13570743003729,8.04544078348546
"ENSMUSG00000069833",7.46119947937397,7.59237576436131,7.58270721009235,8.23531281455735,7.64633820066502,7.16216720325952,7.32125511958039,7.39402919713609,7.69221978792446
"ENSMUSG00000028238",5.00944913931555,5.81946499533056,5.45637118406628,5.86010295978591,4.12852195586927,5.48472585516987,4.64596652429761,5.26914219690579,5.58102933514698
"ENSMUSG00000033862",7.73478263041745,7.69809416303361,7.58270721009235,7.94257756437719,7.73882299734462,7.86655348185915,7.45363962711973,7.52749295491162,7.6037041797568
"ENSMUSG00000038762",9.53870132225722,10.0767017891113,9.86636129050002,9.6450661486056,9.76487157474498,9.88946153734559,10.626211653162,10.2339260479701,9.97761791470055
"ENSMUSG00000033860",15.4462457565521,15.7331370216898,15.0703906213331,15.194757005484,15.246308189509,15.020747691501,17.9358101138869,15.9340072171023,16.0578119557804
"ENSMUSG00000069835",6.67622313554173,6.54594568726552,6.67741108506101,6.84196875637915,7.35867519395996,7.06465138827608,6.65174407544326,6.63280869800467,6.42939845627394
"ENSMUSG00000028233",7.63996847813267,7.58136114311522,7.73928110711896,7.98332084586137,7.71418656380563,7.97132122726782,7.85024628208674,7.7215905066138,7.62635177128918
"ENSMUSG00000028232",6.95139601866764,7.04384830324215,6.63189421601982,7.24043876999612,6.83846933772495,6.85982043540038,6.7668868797291,7.06401938249674,6.86180907251013
"ENSMUSG00000028234",9.12816975288116,9.26818888993487,8.48307365568155,9.10745968180192,9.07247303848509,8.48124291095093,9.19794227616805,8.89762440810866,9.01342214108037
"ENSMUSG00000044534",5.94656528450905,6.38774343055016,5.8946187242875,5.88607484278202,5.25843235184585,5.71550681290063,5.55292678113617,6.19045788810852,6.00158498334429
"ENSMUSG00000046020",7.6949144289502,7.21817626404005,7.62921786123127,7.46327891763765,7.68911879771161,7.76729279489417,7.51082904646671,7.7215905066138,7.42565389978361
"ENSMUSG00000027405",7.28399980077936,7.37343499982087,7.22658687974925,7.36065163390326,7.54745930014294,7.24355808136619,7.95675061168576,7.39402919713609,7.4427895157756
"ENSMUSG00000027404",9.10813745470168,8.68100785241676,8.85869175141763,8.99550038615392,9.02998676176016,8.73297892730743,8.60626186636124,8.51183643949457,8.40468518517544
"ENSMUSG00000027406",11.2851094451005,11.1373797026997,11.2894975860595,11.4644576805942,11.2583167462028,11.408304000292,10.9228585043945,10.9661852880337,10.9993544912738
"ENSMUSG00000018209",8.32317077365021,8.23216380838715,8.49564151898339,7.81290697271563,7.90760327598282,8.35043058880299,8.63643175875246,8.52862445729602,8.59603939469416
"ENSMUSG00000108435",4.84207691291523,5.19401053577919,5.37896923336484,5.13452868977192,5.94352116575436,5.5888848515824,4.88681388669216,5.55522812943554,5.36370014550089
"ENSMUSG00000006958",6.43544732848338,6.58002411272837,7.07741321906897,6.59053782766481,6.97014797755579,6.36753762148162,7.13936282868164,6.88609683650186,6.93674519096678
"ENSMUSG00000087574",5.19766275153324,4.97643976026405,5.15966351700189,5.22599967973848,4.55719738268345,4.66998134146968,4.95518698572326,4.88595570001373,5.04557838793829
"ENSMUSG00000087579",10.3571692452033,10.0678893763631,9.99866439280503,10.27083654308,10.003057972575,10.7600951362983,8.02360040774584,8.94589291188607,10.1195046253498
"ENSMUSG00000087578",4.46915475120067,4.93537882102211,4.26604619449812,4.73188365982583,5.03283198074673,4.49515390735553,4.54807877994153,4.98387887241642,4.49145373149694
"ENSMUSG00000058569",9.44600320417795,9.17639798322354,9.17727879365098,9.39903499518323,9.77677547898104,9.10418203611863,10.1290428803201,9.11540137230309,9.13903176301156
"ENSMUSG00000021585",8.78120288378843,8.73895073226613,8.83252408456711,8.7848978237795,8.7244678742958,8.821203339919,8.9391970480598,8.7876049426483,9.09387628927226
"ENSMUSG00000021589",6.67622313554173,6.34850601634505,6.99649332671657,6.22476360139142,6.62341850429625,7.11965255174051,6.16339899430284,6.93780980157229,6.7961632380495
"ENSMUSG00000097309",5.28101877601625,4.58387827206631,4.67505466098236,5.53333316904881,4.8250099490322,4.74527664150962,4.43580258587285,4.71752921154761,5.04557838793829
"ENSMUSG00000030888",6.49966889157618,7.41751432718147,6.94808533311777,6.6794641815428,7.11601737790672,6.99569938789409,7.83542879645268,7.31842454390328,7.30895189648965
"ENSMUSG00000030881",7.6949144289502,7.00293601809835,7.17509172305621,7.69860135703188,7.83333848289604,7.40244644655998,8.16055456360769,7.34914946478198,7.5729384073534
"ENSMUSG00000026753",8.84009544190305,8.70395962251047,8.9527930445721,8.91971189082354,8.95160586250378,8.86336841750633,8.81660519834862,8.9583308740881,9.11264138022747
"ENSMUSG00000026750",10.6498459079871,10.4646523064617,10.4451438800555,10.8602907852419,10.648505009907,10.5137481846461,9.88187855006985,10.0579686727817,10.0751095083911
"ENSMUSG00000030882",6.12299999133695,6.23802134422563,6.43328947009015,6.41107113087284,6.8837431655572,6.85982043540038,6.30269201214273,6.67016557007931,6.37590454740185
"ENSMUSG00000030884",11.5926256781233,11.6774855508138,11.6001298628693,11.8277556430595,11.7085754380293,11.7906924650335,11.1658363463039,11.2876119913569,11.4229804559431
"ENSMUSG00000026754",7.05011529935643,7.42370160611608,7.58270721009235,7.79992308013892,7.84094046512415,7.70425841277918,7.90093385685726,7.70391648900532,7.55730361714634
"ENSMUSG00000026755",8.56298607409455,8.61795185762466,8.62709573192078,8.8397138795638,8.86499970546043,8.93811040840295,8.42056232394222,8.26163371734912,8.37831798575958
"ENSMUSG00000003824",4.95669042637061,4.93537882102211,5.33830027467089,4.98109401274007,5.09373082612283,4.66998134146968,3.69011472402874,5.15581366423661,4.99155491269077
"ENSMUSG00000004446",7.44524087255887,7.20383917817968,8.00888784329876,8.15612733068303,7.9573914733913,7.73261674475425,7.47295843083156,7.91312795575355,8.03421501927837
"ENSMUSG00000098557",7.3711318457049,7.18935593704671,7.83489464837978,6.33955941308165,7.10336027422936,7.5770433583808,7.45363962711973,7.00716519099893,7.30895189648965
"ENSMUSG00000033863",10.5494786987235,10.5661747490205,10.9504415600562,10.1201915066953,10.4534375652463,10.7032317968202,10.764222795464,10.7735436512337,10.7004745008237
"ENSMUSG00000085882",7.06067060438775,6.63503009761583,7.05476146551807,6.86731436383162,6.85372300370304,6.75205219215133,6.25782650693295,7.08247443878577,7.09752780377615
"ENSMUSG00000029918",7.96438431004094,7.89310795471141,8.02054450465304,8.44964527799498,8.38888996108828,8.34127183319795,7.66144194364231,7.58660798557253,7.67059890442604
"ENSMUSG00000029916",6.6623353062796,6.40057761811452,6.45097149175546,6.65044731958822,6.3473381356138,6.42185237369796,6.59933609923265,6.27479667762788,6.39396777493576
"ENSMUSG00000029911",7.91323365505821,7.92390442910663,7.90578646485824,8.2780094222606,8.26459537573491,8.03525098510009,8.25254845642805,7.82328593206656,7.98258361546266
"ENSMUSG00000029910",5.92276881605865,6.03676111955279,5.81252855035505,6.07728447866798,5.88326037046441,5.91085539446552,5.86318850332135,5.98398292264658,5.90204994782305
"ENSMUSG00000035273",5.84868091819435,6.64577552665775,6.46843001078856,5.88607484278202,6.32533169182619,6.66541704056104,6.3882388885446,6.04352121145521,6.46394180490808
"ENSMUSG00000043263",5.46658797140301,5.25793501451394,5.8946187242875,5.53333316904881,5.75370165881911,5.41001154402832,5.19110517622301,5.19486817812654,5.19303884493911
"ENSMUSG00000043262",7.43719414049272,7.43599623295347,7.45934365221624,7.16107114764757,6.86881309540919,7.40244644655998,6.71869500617552,7.17989417868369,7.12972783027464
"ENSMUSG00000026842",8.46787079527295,8.16015413345849,8.27033159807512,8.65784983479654,8.42468117609334,8.32742339733773,8.73929656154207,9.26304956095833,8.88519443235579
"ENSMUSG00000035278",7.20074171820416,7.27412098307141,7.21643607598923,7.06613298484588,7.27104578445941,6.75205219215133,6.93066426888143,7.03587780761407,7.23207204128535
"ENSMUSG00000044533",11.8076865643739,11.3997785339404,11.4694231310494,11.6362835580362,11.6526215327247,11.315629220254,10.891068469214,11.0648976593148,11.0000741783421
"ENSMUSG00000034435",8.90830777071559,9.310321528024,8.67943061923343,8.8397138795638,8.95859341925606,8.71182832822396,9.33819882238805,9.35244136460078,9.20796237455384
"ENSMUSG00000034430",7.60452389833395,8.03686009151329,7.80147458233882,7.55128149778574,7.49049577488215,7.5770433583808,7.18706465966983,7.77897661591535,8.07312712887188
"ENSMUSG00000034438",5.92276881605865,5.48347445403004,6.41537789771013,5.83360445062251,6.05638970075515,6.10349826221423,5.59139510207215,5.52658056435037,5.58102933514698
"ENSMUSG00000053916",5.79684626169513,5.58219777101331,5.59782936590386,5.46357183776204,5.30841207402274,5.68501795760369,5.76788143970347,5.66365948325408,5.23813599430565
"ENSMUSG00000017723",6.7436660091614,6.89066373138377,6.53614174709806,6.57514898568482,5.94352116575436,6.94778924144032,5.73448522325213,5.76353326766549,6.15966994279336
"ENSMUSG00000017721",9.31233624258298,9.16725589353465,9.09163374168576,8.86480516660949,8.95859341925606,9.2603764144561,9.91035367765292,9.33919074464284,9.40348461522514
"ENSMUSG00000015474",8.44806934162115,8.53787965925105,8.42730754201635,8.53031129077337,8.23032268878222,8.41732310790465,8.23574214734312,8.66240986327545,8.52972576368946
"ENSMUSG00000011267",4.63869506857218,4.5194102125301,4.7507080041925,5.13452868977192,5.30841207402274,4.26300613094767,4.64596652429761,4.98387887241642,4.74051160922638
"ENSMUSG00000078817",9.48341195015478,10.3738287255414,10.0953095704177,10.6365365983938,10.3065454916601,10.0566451097442,10.71362455864,9.47172912757851,10.0832836546046
"ENSMUSG00000078812",11.3768721401516,11.2398716037806,11.218706866315,11.3149918155686,11.2166916689703,11.0518821914605,11.5871594473588,11.3676067120351,11.1483221696147
"ENSMUSG00000015478",9.38071837715392,9.17091969111855,8.85869175141763,9.14889551969254,9.39695627471968,9.22350840776856,9.27662938842986,9.10872265651986,9.37933992278773
"ENSMUSG00000099759",4.36679022333752,4.75143685973346,4.88548978500045,5.08578822908326,5.09373082612283,4.38951078106728,4.64596652429761,4.06007086210958,5.19303884493911
"ENSMUSG00000050299",9.22668031499056,8.08044663610389,8.60019711961477,9.35987704923282,9.20175628180547,8.90122408666474,8.11225045250069,8.30517574114446,8.29148234328898
"ENSMUSG00000097616",5.10762613189998,5.48347445403004,5.52912755164745,5.46357183776204,5.82009518905133,6.12573769662947,5.42974493146281,5.52658056435037,5.58102933514698
"ENSMUSG00000097615",5.84868091819435,4.69913950666401,5.37896923336484,5.56678568951797,5.09373082612283,4.87943683557956,6.08798452220212,5.37230143870265,6.18081062162488
"ENSMUSG00000041130",9.40964492019146,9.55562312080284,9.59018071915061,9.57461236849917,9.90884617471998,9.41224958086343,10.0592368943493,9.91859983378137,9.72243221643805
"ENSMUSG00000041133",9.70959441719805,9.99331475102975,9.56260054426742,9.5689008014173,9.61599869836145,9.79715549955954,10.2551134031954,9.93378827683726,10.0873534205
"ENSMUSG00000041132",9.92236789923108,9.71715517930471,9.96143926346608,10.0121146817148,9.92854305791014,10.1101230714165,8.08121416858071,9.07257047309313,9.97175894632788
"ENSMUSG00000041135",6.36809010635046,6.89066373138377,7.3052858070558,7.07700119056295,7.24826867890881,7.07582374928081,6.7668868797291,7.0453206332167,6.87457847750272
"ENSMUSG00000041134",5.65733583943662,5.60569843616684,5.66295376748485,5.31064508832273,6.00115242548997,5.9365211593183,6.25782650693295,5.63741626790998,5.67686525962993
"ENSMUSG00000016921",10.5531861214236,10.2468507864846,10.2440798250146,10.3737720939453,10.4158747777611,10.2214779629186,10.468807649576,10.1442831748562,10.2928116695286
