"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",1.75114178074756e-30,8.75570890373782e-29,1.43181244608859,-0.774691914814285,-2.79816705860742,181,"Etfa;Acaa1a;Slc25a5;Ndufa9;Cox7a2;Acaa2;Ndufs3;Ndufb3;Suclg1;Cox6c;Ndufs4;Ndufa2;Ndufs8;Cox7b;Mdh1;Ndufb6;Cox5a;Ndufa1;Ndufb2;Sdhb;Oat;Etfb;Mpc1;Ndufs2;Uqcrfs1;Uqcrq;Ndufv1;Prdx3;Uqcrc2;Timm8b;Ndufa7;Bckdha;Sdhd;Ndufb7;Atp6v1f;Fdx1;Ech1;Eci1;Idh3b;Echs1;Mgst3;Decr1;Uqcrc1;Cox6b1;Ndufa3;Cyc1;Hsd17b10;Sdhc;Ndufb8;Cox5b;Dld;Bdh2;Ndufs1;Cox17;Sucla2;Acadvl;Uqcrh;Pdhb;Ndufc1;Slc25a3;Timm9;Ndufa8;Idh2;Ndufs7;Mrpl11;Vdac3;Uqcr10;Surf1;Mrpl34;Cyb5a;Ndufv2;Acat1;Cox8a;Cycs;Atp6v1h;Timm13;Abcb7;Gpx4;Got2;Timm10"
"HALLMARK_FATTY_ACID_METABOLISM",2.62475907860252e-13,6.5618976965063e-12,0.932595211336209,-0.681773929815375,-2.38056965109097,139,"Acaa1a;Acaa2;Bphl;Fabp1;Suclg1;Mdh1;Fabp2;Alad;Prdx6;Acads;Hsph1;Ehhadh;Sdhd;Gstz1;Gcdh;Acat3;Hmgcl;Pcbd1;Ech1;Eci1;Idh3b;Hibch;Adh1;Mcee;Echs1;Acot8;Decr1;Aldh9a1;Urod;Hsd17b10;Sdhc;Dld;Sucla2;Aldh3a2;Acadvl;Pdhb;Cd1d1;Bckdhb;Pts;Fmo1;Hpgd"
"HALLMARK_PEROXISOME",2.81974890784644e-06,3.52468613480805e-05,0.627256739718528,-0.623718652221808,-2.01586264349058,87,"Acaa1a;Gstk1;Serpina6;Ehhadh;Hmgcl;Ech1;Fads1;Acot8;Abcb9;Aldh9a1;Pex6;Fis1;Tspo;Prdx1;Ttr;Abcd2;Pex2;Idh2;Pex5;Abcd3;Cnbp;Hras;Scp2;Mlycd;Ephx2;Pex11b;Dio1;Ide;Abcc5;Idh1;Hsd17b11;Elovl5;Sod1;Retsat"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00628621654353836,0.0261925689314098,0.407017918923954,0.432165352078752,1.50845812595515,129,"Junb;Irs2;Kdm6b;Zfp36;Pnrc1;Icam1;Dennd5a;Rela;Bmp2;Il6st;Hes1;Id2;Ifngr2;Fosl2;Trib1;Litaf;Klf2;Ets2;Smad3;Plpp3;Ier2;Btg2;Tlr2;B4galt1;Tgif1;Rigi;Mxd1;Tnfaip2;Jun;Rnf19b;Gadd45b;Egr1;Cebpd;Efna1;Nfil3;Ppp1r15a"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.0113906176655203,0.0379687255517344,0.380730400722792,-0.563082431536851,-1.59642148926768,44,"Prdx2;Txn1;Mgst1;Ndufs2;Prdx6;Txnrd2;Lamtor5;Atox1;Prdx1;Msra;Stk25"
"HALLMARK_MTORC1_SIGNALING",0.0139708753294986,0.0436589854046832,0.380730400722792,-0.391028363994447,-1.39856464170019,176,"Psmd14;Arpc5l;Tfrc;Fads1;Cops5;Ebp;Stard4;Eno1;Tpi1;Psma3;Psmb5;Vldlr;Prdx1;Insig1;Trib3;Psmc2;Actr2;Fdxr;Pgk1;Uchl5;Psmg1;P4ha1;Sec11a;Sord;Serpinh1;Fads2;Lta4h;Cacybp;Pfkl;Ldlr;Ccng1;Got1;Cth;Ube2d3;Dhfr;Slc1a4;Ddit4;Idh1;Psmc4;Elovl5;Nampt;Psph;Sc5d;Qdpr;Psmd13;Hspd1"
