"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"REACTOME_CD209_DC_SIGN_SIGNALING",0.00401861020970958,0.0413695135174724,0.407017918923954,0.816030092824424,1.69816018701415,10,"Crebbp;Rela;Fyn"
"REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS",0.00396703369023853,0.0413695135174724,0.407017918923954,0.393679377128751,1.46273556167485,209,"Crebbp;Junb;Ap3b1;Stat3;Fga;Msn;Fgg;Myh9;Pim1;Irs2;Sptbn1;Tcf7l2;Maml1;Fn1;Fyn;Ptpn11;Hdac6;Tpm3;Hes1;Bcr;Tgfbr2;Vcl;Akt2;Polr2a;Map3k11;Axin1;Akt1;Dctn1;Nf1;Tgfb1;Fzd5;Golga4;Arrb1;Smad3;Adam10;Hdac2;Dnmt1"
"REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION",0.00391380136707921,0.0413695135174724,0.407017918923954,0.479952973628193,1.59810632247156,82,"Crebbp;Kmt2d;Mta1;Ncoa6;Smarcc1;Ddx21;Psip1;Mybbp1a;Abl1;Dek;Ncoa3;Cxxc1;Hdac2;Dnmt1;Paxip1;Ss18;Rrp8;Baz2a;Ncor2"
"REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY",0.0040668335322261,0.0413695135174724,0.407017918923954,-0.754722995467179,-1.7982657710585,17,"Rps19;Rps14;Rps2;Rps27l;Snrpd2;Snrpb;Snrpg;Rps10;Rps5;Rps3;Rps12;Rps9"
"REACTOME_SENSORY_PROCESSING_OF_SOUND",0.00404501885509794,0.0413695135174724,0.407017918923954,0.765608954807642,1.73395867180675,14,"Msn;Myh9;Sptbn1;Sptan1;Eps8l2;Myo1c;Capzb"
"REACTOME_REGULATION_OF_IFNG_SIGNALING",0.00427927435657047,0.0430358841541462,0.407017918923954,0.813951369980382,1.69383436079201,10,"Pias1;Jak1;Ptpn11;Ptpn1;Ifngr2;Ptpn2"
"REACTOME_MAPK6_MAPK4_SIGNALING",0.00439708244197199,0.0437237973162383,0.407017918923954,-0.576638006918313,-1.67464041517446,42,"Psmd14;Psma1;Xpo1;Psma3;Psmb3;Psma2;Psmb5;Mmp2;Psmc2;Dnajb1"
"REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION",0.00458010942479622,0.0450377426771629,0.407017918923954,-0.587359320458274,-1.68114701574518,39,"Psmd14;Skp1;Psma1;Psma3;Psmb3;Psma2;Psmb5;Psmc2"
"REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS",0.0050327391184513,0.0452833483171017,0.407017918923954,-0.654424531613417,-1.76379884391022,30,"Psmd14;Psma1;Psma3;Psmb3;Psma2;Psmb5;Psmc2"
"REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES",0.0047401004436883,0.0452833483171017,0.407017918923954,0.597463780283029,1.68930457306149,35,"Crebbp;Kmt2d;Ncoa6;Abl1;Ncoa3;Paxip1;Ncor2"
"REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING",0.00484613785935308,0.0452833483171017,0.407017918923954,0.749594973767449,1.67692105917314,13,"Stat3;Jak1;Ube2d1;Csf3r"
"REACTOME_NEDDYLATION",0.00480942976732113,0.0452833483171017,0.407017918923954,-0.521163294339817,-1.60633429519033,62,"Psmd14;Skp1;Psma1;Cops5;Psma3;Psmb3;Psma2;Psmb5;Psmc2"
"REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY",0.00497246679367943,0.0452833483171017,0.407017918923954,-0.673756015063816,-1.76564574575249,27,"Psmd14;Psma1;Psma3;Psmb3;Psma2;Psmb5;Psmc2"
"REACTOME_SIGNALING_BY_CSF3_G_CSF",0.00504886474191565,0.0452833483171017,0.407017918923954,0.736670623984586,1.76644632530393,17,"Stat3;Jak1;Ube2d1;Ptpn11;Csf3r"
"REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE",0.00506559489648935,0.0452833483171017,0.407017918923954,-0.602231524316669,-1.73751290126452,40,"Psmd14;Skp1;Psma1;Psma3;Psmb3;Psma2;Psmb5;Psmc2"
"REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER",0.00481884341089583,0.0452833483171017,0.407017918923954,0.609084945006692,1.69387803563987,33,"Junb;E2f4;Nedd4l;Ccnk;Ube2d1;Ski;Smad3;Ncor2;Tfdp2;Tgif1;Furin;Tfdp1;Serpine1;Hdac1"
"REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION",0.00505894231625081,0.0452833483171017,0.407017918923954,0.661419000333402,1.77526479322587,27,"Crebbp;Ncoa6;Med13l;Rela;Srebf2;Tgfb1;Ncoa3;Cdk4;Ncor2;Ccnd3;Cebpd;Med24;Helz2;Cebpb;Rxra;Hdac3"
"REACTOME_DISEASES_OF_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM",0.00519728700662122,0.0459959900085978,0.407017918923954,-0.829982934461841,-1.75329595499809,10,"Bckdha;Hibch;Echs1;Dld;Mccc1;Bckdhb;Acat1;Mccc2"
"REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS",0.00526426160390693,0.0461274407867093,0.407017918923954,0.493916816235326,1.64021838881811,81,"Junb;Mmp14;E2f4;Nedd4l;Ccnk;Ube2d1;Fst;Bmp2;Smad1;Tgfbr2;Tgfb1;Ski;Arrb1;Inhbb;Smad3;Tgfbr3;Ncor2;Tfdp2;Psen1;Tgif1;Rhoa;Itgb1;Furin;Ppp1r15a;Itgb3;Acvr1b;Tfdp1;Serpine1;Hdac1;Rxra;Ago2;Smad6"
"REACTOME_SYNTHESIS_OF_DNA",0.00537523241755496,0.0466380459758445,0.407017918923954,-0.513447194229342,-1.59768204669435,65,"Psmd14;Skp1;Psma1;Psma3;Psmb3;Psma2;Psmb5;Psmc2;Mcm5;Orc5;Rpa2;Rbx1;Psmc4;Rfc2;Psmd13;Pcna;Cdc27;Psma6;Psmc6;Rfc4;Pold1;Mcm6;Prim2;Rfc5;Pold4;Psma7"
"REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES",0.00560830082373276,0.0476330141900125,0.407017918923954,-0.706280518829996,-1.72483529001755,19,"Prdx2;Txn1;Prdx6;Txnrd2;Prdx3;Atox1;Prdx1"
"REACTOME_PYRUVATE_METABOLISM",0.00558895174131239,0.0476330141900125,0.407017918923954,-0.709037900182878,-1.78899093532338,22,"Mpc1;Gstz1;Dld;Hagh;Pdhb;Mpc2"
"REACTOME_RHOU_GTPASE_CYCLE",0.00565298847969876,0.0476330141900125,0.407017918923954,0.734014646677954,1.76007761559753,17,"Pak4;Sptbn1;Arhgef7;Dlg5;Dst;Sptan1;Stam2"
"REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS",0.00570519717982071,0.0476330141900125,0.407017918923954,0.67380232259674,1.77154070064809,25,"Pom121;Nup98;Pias1;Rad21;Smc1a;Nup50;Smc3;Xpc;Nup153;Ube2i;Nup93"
"REACTOME_DNA_REPLICATION",0.00610380987408534,0.0501666244333181,0.407017918923954,-0.503570990794607,-1.59621289769691,73,"Psmd14;Skp1;Psma1;Psma3;Psmb3;Psma2;Psmb5;Psmc2;Mcm5;Polg2;Orc5;Rpa2;Rbx1;Psmc4;Rfc2;Psmd13;Pcna;Cdc27;Psma6;Psmc6;H2az2;Rfc4;Pold1;Mcm6;Prim2;Rfc5;H2aj;Pold4;Psma7;Ssbp1"
"REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE",0.00612202874440492,0.0501666244333181,0.407017918923954,0.695521998577518,1.79768204134278,23,"Fga;Fgg;F2r;F8;Serping1;F5;Thbd;Pros1;F12"
"REACTOME_ISG15_ANTIVIRAL_MECHANISM",0.00647234838316212,0.0506905160982166,0.407017918923954,0.578064042220666,1.6573060836752,37,"Nedd4;Pom121;Nup98;Jak1;Eif4g3;Eif4e3;Rigi;Nup50;Kpna2"
"REACTOME_NOTCH4_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION",0.00645710236647498,0.0506905160982166,0.407017918923954,0.774921130349812,1.70334868191825,12,"Flt4;Crebbp;Maml1;Hes1;Smad3"
"REACTOME_ONCOGENIC_MAPK_SIGNALING",0.00628481919621403,0.0506905160982166,0.407017918923954,0.615099484792115,1.72503968624765,34,"Ap3b1;Fga;Fgg;Fn1;Vcl;Map3k11;Nf1;Arrb1"
"REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE",0.00642319527447352,0.0506905160982166,0.407017918923954,-0.635739870028644,-1.76245174614206,34,"Psmd14;Psma1;Rpl39;Psma3;Psmb3;Psma2;Psmb5;Psmc2;Rpl22"
"REACTOME_SENSORY_PROCESSING_OF_SOUND_BY_OUTER_HAIR_CELLS_OF_THE_COCHLEA",0.00645710236647498,0.0506905160982166,0.407017918923954,0.774894691321208,1.70329056647559,12,"Msn;Myh9;Sptbn1;Sptan1;Eps8l2;Myo1c"
"REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS",0.00660817030455387,0.051300269469563,0.407017918923954,-0.645359306691235,-1.73936633494221,30,"Psmd14;Psma1;Psma3;Psmb3;Psma2;Psmb5;Psmc2"
"REACTOME_DEGRADATION_OF_AXIN",0.00666875002339706,0.0513203806148382,0.407017918923954,-0.67416273768771,-1.74453940602307,25,"Psmd14;Psma1;Psma3;Psmb3;Psma2;Psmb5;Psmc2"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",0.00695826705337488,0.053086778812386,0.407017918923954,-0.643601466662234,-1.7346286210254,30,"Rps19;Rps14;Rpl39;Rps2;Rps27l;Rpl22;Sec11a;Rpl14;Rps10;Rps5;Rps3;Rps12;Rps9"
"REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION",0.00724844799746854,0.0548280040834159,0.407017918923954,0.739280870192458,1.65384734857385,13,"Fga;Fgg;F2r;F8;F5"
"REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION",0.0073668401737952,0.0550808480499144,0.407017918923954,-0.451992417549373,-1.52668939285353,120,"Vamp8;Psmd14;Skp1;H2-T23;Psme2;Sar1b;H2-Q1;Psma1;Psmb9;Psmb8;Psma3;Psmb3;Psma2;Psmb5;Bcap31;Psmc2;Wwp1"
"REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION",0.007406351319706,0.0550808480499144,0.407017918923954,0.787218565147601,1.63820334270404,10,"Jak1;Ptpn11;Il6st"
"REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3",0.00765443132015782,0.0564514309861639,0.407017918923954,0.367560822225779,1.3773992760329,226,"Nup98;Pak4;Myh9;Ywhae;Wasf2;Iqgap2;Net1;Sptbn1;Arhgef12;Myh10;Kalrn;Akap12;Plxnb1;Add3;Akap13;Itsn1;Nf2;Tpm3;Srf;Clasp1;Bcr;Abl1;Map3k11;Arhgef7;Cul3;Dlg5;Dst;Dlc1;Sptan1;Prex1;Trak2;Cdc42ep2;Trio;Dync1h1;Farp1;Stam2;Dvl2;Rhoa;Flot2;Itgb1;Plekhg2;Esyt1;Arhgef11;Cdh1;Cavin1;Wasl;Ocrl;Capzb;Fermt2;Cdc42se2;Kif2a;Gja1;Vav2;Ptk2;Ctnna1;Arfgap3;Abi1;Myo9b;Mapre1;Ywhah;Ppp2r1b;Rac2;Abr;Daam1;Incenp"
"REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6",0.00782617153495395,0.05677181810192,0.380730400722792,-0.661051836838621,-1.73235316248038,27,"Psmd14;Psma1;Psma3;Psmb3;Psma2;Psmb5;Psmc2"
"REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING",0.00781347774801067,0.05677181810192,0.380730400722792,0.543827435753868,1.62616179584712,46,"Ywhae;Net1;Arhgef12;Rela;Kalrn;Akap13;Itsn1;Arhgef7;Hdac2;Prex1;Trio;Psen1;Rhoa;Plekhg2;Arhgef11;Vav2;Abr;Prdm4;Hdac1;Hdac3;Arhgef2;Casp3"
"REACTOME_CLEC7A_DECTIN_1_SIGNALING",0.00799783505646046,0.0575453985769716,0.380730400722792,-0.549689498176624,-1.62751579137233,46,"Psmd14;Skp1;Psma1;Psma3;Psmb3;Psma2;Psmb5;Psmc2"
"REACTOME_HIGH_LAMINAR_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_PECAM1_CDH5_KDR_IN_ENDOTHELIAL_CELLS",0.00811281325825592,0.057901933335133,0.380730400722792,0.63566442854725,1.7181025048587,28,"Flt4;Pecam1;Mmp14;Prkar2a;Fyn;Vcl;Akt1;Gng12"
"REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE",0.00819776341026574,0.0580401649446815,0.380730400722792,-0.615131286199684,-1.69013677570618,32,"Apoc1;Apoe;Sar1b;Apoc2;Apoc3;Ap2s1;Vldlr"
"REACTOME_SIGNALING_BY_GPCR",0.00850348111507245,0.0597268316415803,0.380730400722792,0.435419645129378,1.51631674589111,117,"Hc;Net1;Prkar2a;Arhgef12;C3;F2r;Itpr2;Fn1;Kalrn;Plxnb1;Akap13;Prkch;Itsn1;Avpr1a;Akt2;Akt1;Arhgef7;Gng12;Fzd5;Cmklr1;Arrb1;Prex1;Trio;Prkce;Ccr5;Adcy9;Rhoa;Itgb1;Plekhg2;Arhgef11;Kpna2;Vav2;App;Gng2;Ppp2r1b;Abr"
"REACTOME_MATURATION_OF_TCA_ENZYMES_AND_REGULATION_OF_TCA_CYCLE",0.00885375208758561,0.061697406279632,0.380730400722792,-0.79627763392165,-1.74186621426502,12,"Sdhb;Sdhd;Sdhc;Nfs1;Idh2;Acat1"
"REACTOME_DEGRADATION_OF_DVL",0.00901985439295118,0.0623638370137641,0.380730400722792,-0.663658812669698,-1.71735826697839,25,"Psmd14;Psma1;Psma3;Psmb3;Psma2;Psmb5;Psmc2"
"REACTOME_SIGNALING_BY_BRAF_AND_RAF1_FUSIONS",0.00927401949775407,0.0636240872520337,0.380730400722792,0.609921994162102,1.6750233303273,29,"Ap3b1;Fga;Fgg;Fn1;Vcl;Arrb1"
"REACTOME_DISEASES_OF_METABOLISM",0.00944343180518765,0.063797230134283,0.380730400722792,-0.464259638883285,-1.51451626956189,88,"Dcxr;Bckdha;Fdx1;Hibch;Echs1;Taldo1;Dld;Mccc1;Gale;Bckdhb;Fdxr;Ahcy;Cyp17a1;Acat1;Adamts5;Mccc2;Galk1;Thbs1;Csf2ra;Idh1;B4galt7;Srd5a3"
"REACTOME_SPOP_MEDIATED_PROTEASOMAL_DEGRADATION_OF_PD_L1_CD274",0.00944028677958631,0.063797230134283,0.380730400722792,-0.618435284170771,-1.68170390249792,31,"Psmd14;Psma1;Psma3;Psmb3;Psma2;Psmb5;Psmc2"
"REACTOME_CELLULAR_SENESCENCE",0.00980311809231154,0.0657254508461797,0.380730400722792,0.483282847474992,1.51937180835746,62,"Ets1;Stat3;Kdm6b;H1f0;Rela;Ube2d1;Ets2;Cdk4;Tfdp2;Cdkn2c;Jun"
"REACTOME_DOWNSTREAM_TCR_SIGNALING",0.00996711250334265,0.0663225155297612,0.380730400722792,-0.571695845782191,-1.67833674883247,44,"Psmd14;Skp1;Psma1;Psma3;Psmb3;Psma2;Psmb5;Psmc2"
"REACTOME_SIGNALING_BY_NTRKS",0.0102134137141214,0.0669546010147958,0.380730400722792,0.505439644830323,1.56329126936812,58,"Junb;Stat3;Irs2;Fyn;Ptpn11;Srf;Id2;Trib1;Ap2b1;Clta;Ralb;Mef2d;Atf1;Rhoa;Egr1;Furin;Mef2a;Braf"
"REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES",0.0101883355302199,0.0669546010147958,0.380730400722792,0.366636757739237,1.38066898682086,230,"Flt4;Nedd4;Junb;Stat3;Irs2;Wasf2;Plg;Itpr2;Atp6v0a1;Pxn;Fn1;Fyn;Lrig1;Ptpn11;Esrp2;Ptpn1;Srf;Id2;Akt2;Polr2a;Trib1;Usp8;Akt1;Arhgef7;Ap2b1;Clta;Ralb;Atp6v1d;Lama3;Adam10;Hdac2;Dnmt1;Tgfbr3;Ctnnd1;Mef2d;Prkce;Atf1;Nrp2;Psen1;Stam2;Rhoa;Ptpn2;Itgb1;Kit;Egr1;Ncbp1;Fgfr1;Furin;Mef2a;Braf;Vav2;Ptk2;Pdgfc;Ctnna1;Abi1;Mxd4;Erbb3;Axl;Itgb3"
"REACTOME_UCH_PROTEINASES",0.0109537559632695,0.0712799560845111,0.380730400722792,-0.625415708306536,-1.68561453610971,30,"Psmd14;Psma1;Psma3;Psmb3;Psma2;Psmb5;Psmc2;Uchl5"
"REACTOME_REGULATION_OF_PD_L1_CD274_POST_TRANSLATIONAL_MODIFICATION",0.0110510695540186,0.0713882960241344,0.380730400722792,-0.558836761253797,-1.64380030162593,45,"Psmd14;Skp1;Psma1;Cops5;Psma3;Psmb3;Psma2;Psmb5;Psmc2"
"REACTOME_RHOV_GTPASE_CYCLE",0.0112440924100633,0.0721088534993187,0.380730400722792,0.760622674853133,1.78058886901388,16,"Pak4;Sptbn1;Tpm3;Map3k11;Arhgef7;Dlg5;Dst;Sptan1"
"REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING",0.0119209848429736,0.0758997955829617,0.380730400722792,0.531533035997545,1.60267429989888,49,"Junb;Stat3;Pim1;Icam1;Hmox1;Fn1;Jak1;Il4ra;Akt1;Tgfb1;Il13ra1;Zeb1;Fscn1;Itgb1;Cebpd"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",0.0121860204532949,0.0764867241217446,0.380730400722792,-0.674546615419825,-1.67767098395296,21,"Rps19;Rps14;Rpl39;Rps2;Rps27l;Rpl22;Rpl14;Rps10;Rps5;Rps3;Rps12;Rps9;Eef1b2"
"REACTOME_SUMOYLATION_OF_TRANSCRIPTION_COFACTORS",0.0121632012162845,0.0764867241217446,0.380730400722792,0.721559318358169,1.61420241429316,13,"Crebbp;Hipk2;Pias1"
